Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
R Systems,5200,http://www.rsystems.com,http://www.linkedin.com/company/r-systems,623f4e4de7308b0001affba4
Sally Beauty,7800,http://www.sallybeauty.com,http://www.linkedin.com/company/sally-beauty-company,623f4e4de7308b0001affbac
"Schuback Search Associates, Ltd.",33,http://www.schubacksearch.com,http://www.linkedin.com/company/schuback-search-associates-ltd-,623f4e4de7308b0001affbad
Sentral,140,http://www.sentral.com.au,http://www.linkedin.com/company/sentral,62152ff5a2911b00019101f2
SiriusXM,2100,http://www.siriusxm.com,http://www.linkedin.com/company/pandora,61f9608a66f7f20001ee04af
Surgical Information Systems,540,http://www.sisfirst.com,http://www.linkedin.com/company/surgical-information-systems,622234fa11146f000118e4a0
Slalom,11000,http://www.slalom.com,http://www.linkedin.com/company/slalom-consulting,623f4e4de7308b0001affbae
SMCI,300,http://www.smci.com,http://www.linkedin.com/company/smci,623f4e4de7308b0001affbab
Snagajob,340,http://www.snagajob.com,http://www.linkedin.com/company/snagajob,623f4e4de7308b0001affbaf
SolomonEdwards,690,http://www.solomonedwards.com,http://www.linkedin.com/company/solomonedwardsgroup,622f8e0e0aa8590001097ea0
Splunk,8200,http://www.splunk.com,http://www.linkedin.com/company/splunk,622f8e0e0aa8590001097ea3
Staffing Technologies,66,http://www.staffingtechnologies.com,http://www.linkedin.com/company/staffing-technologies,623f4e4de7308b0001affbb0
STAND 8 Technology Services,180,http://www.stand8.io,http://www.linkedin.com/company/westand8,62152ff5a2911b00019101fa
"Stratus Technology Services, LLC",140,http://www.stratustech.com,http://www.linkedin.com/company/stratus-technology-services,622a378df04896000113ebc5
Strategic Systems Inc,220,http://www.strsi.com,http://www.linkedin.com/company/strategic-systems-inc.,620d0bbaa74b4f0001689ea2
UST,3500,http://www.stthomas.edu,http://www.linkedin.com/company/166674,621d00de2e43450001ca4edd
"Synchrony Systems, Inc",8,http://www.sync-sys.com,http://www.linkedin.com/company/synchrony-systems,623f4e4de7308b0001affbb2
Synechron,8400,http://www.synechron.com,http://www.linkedin.com/company/synechron,620176553e1b060001a1fcb3
"TalentBurst, an Inc 5000 company",500,http://www.talentburst.com,http://www.linkedin.com/company/talentburst,620176553e1b060001a1fcb6
Talentsearchpro,0,http://www.talentsearchpro.com,http://www.linkedin.com/company/talentsearchpro,620176553e1b060001a1fcb8
Texas A&M University-Commerce,2100,http://www.tamuc.edu,http://www.linkedin.com/company/36631,6230d2845dc6a70001ba4231
Targetbase,340,http://www.targetbase.com,http://www.linkedin.com/company/targetbase,620a7b18c47acf00010f4f0c
Tech Mahindra,133000,http://www.techmahindra.com,http://www.linkedin.com/company/tech-mahindra,623e723a816b6e00a55e6e80
TekPartners,270,http://www.tekpartners.com,http://www.linkedin.com/company/tekpartners,620176553e1b060001a1fcc1
Tenable,1900,http://www.tenable.com,http://www.linkedin.com/company/tenableinc,62152ff5a2911b0001910200
Texas Capital Bank,1900,http://www.texascapitalbank.com,http://www.linkedin.com/company/texas-capital-bank,61f805fb0d4ff40001b1c0eb
The Hired Guns,18,http://www.thehiredguns.com,http://www.linkedin.com/company/thehiredguns,623f4e4de7308b0001affbb4
Tietoevry,13000,http://www.tietoevry.com,http://www.linkedin.com/company/tietoevry,62334fa73a4be500019b3ed8
Titan Professional Resources,12,http://www.titanprojobs.com,http://www.linkedin.com/company/titan-professional-resources,623f4e4de7308b0001affbb6
